item_id,export_date,export_filename,name,category_group,category,supplier,price,cost,gross_margin,barcode
6b347e2af1,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Bracelet,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,14.67,4.68,0.681,3a64a2ef68
f4219a15c0,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Necklace,Home Decor,Tabletop,Northline Apparel Group,86.56,50.46,0.4171,8f627d03d0
0754e1cbd9,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Scarf,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,52.6,20.76,0.6053,6788056b71
6edc2cbe96,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Scarf,Home Decor,Tabletop,Aurora Home Co.,39.12,16.43,0.58,5ed4000581
bb17bbb193,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Bracelet,Accessories,Scarves,Meridian Leather Works,14.69,4.9,0.6664,65d829d9cb
2810e32313,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Scarf,Home Decor,Tabletop,Cascadia Beverage Imports,123.44,46.31,0.6248,a4a8517736
c8ebef167a,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Bottle,Gifts,Stationery,Willow Paper Goods,54.47,24.78,0.5451,6e9cb4bd45
ec410f8658,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Wrap,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,56.67,31.79,0.439,304624971b
45a0b8962b,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Notebook,Apparel,Tops,Northline Apparel Group,14.36,5.07,0.6469,77001266ab
8341614063,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Bracelet,Accessories,Scarves,Meridian Leather Works,64.03,26.15,0.5916,b5a8124ddb
c11a85857c,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Scarf,Accessories,Bags,Meridian Leather Works,43.38,24.8,0.4283,3d926d40f7
46c480afbf,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Wrap,Jewelry,Fashion Jewelry,Northline Apparel Group,36.27,16.22,0.5528,5ea3afa93b
0f23b68b17,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Necklace,Gifts,Stationery,Willow Paper Goods,140.8,54.37,0.6138,bf6a8af8ea
0cac5ef0f2,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Tote,Apparel,Tops,Northline Apparel Group,21.13,9.95,0.5291,86b156fb8f
88d765de81,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Tote,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,33.42,13.58,0.5937,7ef5503ea5
d0f46ab8d2,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Earrings,Apparel,Outerwear,Northline Apparel Group,97.54,48.89,0.4988,937795885a
94e204e637,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Bracelet,Apparel,Outerwear,Northline Apparel Group,106.91,33.97,0.6823,19d02926aa
3b4f2bb588,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Notebook,Wine & Spirits,White Wine,Cascadia Beverage Imports,127.7,49.92,0.6091,b7c5829d52
cc9c7f9688,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Vase,Accessories,Scarves,Meridian Leather Works,59.62,29.81,0.5,0f10761418
ae68e89107,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Tote,Jewelry,Fashion Jewelry,Northline Apparel Group,118.77,54.75,0.539,4da2f29073
04e3537ae2,2026-03-02 09:00:00,retail_items_20260302.csv,Rustic Bottle,Apparel,Tops,Cascadia Beverage Imports,55.17,22.32,0.5954,c257eea541
29dab935f8,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Notebook,Home Decor,Candles,Aurora Home Co.,15.14,5.12,0.6618,cd02a1390b
08f0be3250,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Notebook,Apparel,Tops,Northline Apparel Group,122.26,50.6,0.5861,b5edab92a1
b653192f53,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Bracelet,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,194.79,63.3,0.675,bd9247ebed
3a6c6afcc6,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Earrings,Home Decor,Candles,Aurora Home Co.,88.4,45.38,0.4867,f7da55aee3
fa561483b4,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Bottle,Home Decor,Candles,Aurora Home Co.,77.9,25.53,0.6723,970cf2220a
f8c364ea86,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Tumbler,Gifts,Kids,Willow Paper Goods,21.23,11.92,0.4385,ce1013c651
5181629936,2026-03-02 09:00:00,retail_items_20260302.csv,Coastal Scarf,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,62.42,30.21,0.516,49b58296c0
c459c1d573,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Tumbler,Home Decor,Candles,Aurora Home Co.,135.81,50.42,0.6287,204d94f96f
2b36e9cab8,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Bracelet,Jewelry,Fashion Jewelry,Northline Apparel Group,170.2,60.91,0.6421,ad738c239b
29f06ed427,2026-03-02 09:00:00,retail_items_20260302.csv,Modern Vase,Jewelry,Fine Jewelry,Vantage Jewelry Supply Co.,99.13,43.55,0.5607,7ec0feb51d
adf8479dad,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Tumbler,Wine & Spirits,White Wine,Cascadia Beverage Imports,52.31,24.62,0.5293,1896f7c007
8f59deecd2,2026-03-02 09:00:00,retail_items_20260302.csv,Statement Bottle,Gifts,Stationery,Northline Apparel Group,23.2,9.57,0.5875,81b4276af0
45d1da72e8,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Tote,Apparel,Outerwear,Northline Apparel Group,12.76,4.12,0.6771,04b2ee94b1
6c834d1035,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Tumbler,Gifts,Stationery,Willow Paper Goods,140.38,46.08,0.6717,d50756065b
437234d2df,2026-03-02 09:00:00,retail_items_20260302.csv,Signature Necklace,Jewelry,Fashion Jewelry,Northline Apparel Group,135.68,64.83,0.5222,8d7f1df398
1c374acdb9,2026-03-02 09:00:00,retail_items_20260302.csv,Heritage Bracelet,Apparel,Outerwear,Northline Apparel Group,107.71,45.45,0.578,9123a3a37e
3010a642fc,2026-03-02 09:00:00,retail_items_20260302.csv,Classic Scarf,Gifts,Stationery,Willow Paper Goods,88.14,29.43,0.6661,a76dd93630
afbcbb993c,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Tote,Jewelry,Fashion Jewelry,Northline Apparel Group,69.94,25.33,0.6378,99474228ba
f381537b5a,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Candle,Wine & Spirits,Red Wine,Cascadia Beverage Imports,72.99,25.46,0.6512,f4ad890d8f
7ad72a22be,2026-03-02 09:00:00,retail_items_20260302.csv,Everyday Tumbler,Jewelry,Fashion Jewelry,Northline Apparel Group,27.86,9.97,0.6421,49e684a436
1f8889cd99,2026-03-02 09:00:00,retail_items_20260302.csv,Petite Bracelet,Jewelry,Fashion Jewelry,Northline Apparel Group,60.99,24.34,0.6009,57105c31bf
d05847f1c3,2026-03-02 09:00:00,retail_items_20260302.csv,Vintage Cardigan,Home Decor,Tabletop,Aurora Home Co.,81.25,26.12,0.6785,93352e8932
