item_selection_id,export_date,export_filename,order_id,sent_date,item_id,menu_item,sales_category,gross_price,discount,net_price,qty,void_flag
SEL-00002053,2026-07-21,ItemSelectionDetails.csv,ORD-0000826,2026-07-21 18:15:51.606061,876b4faad0,Modern Candle,Bags,48.71,0.0,48.71,1,0
SEL-00002054,2026-07-21,ItemSelectionDetails.csv,ORD-0000826,2026-07-21 18:15:51.606061,4cfb4c3019,Signature Cardigan,Tabletop,21.42,0.0,21.42,1,0
SEL-00002055,2026-07-21,ItemSelectionDetails.csv,ORD-0000826,2026-07-21 18:15:51.606061,a910612d6f,Heritage Scarf,Red Wine,263.85,0.0,263.85,3,0
SEL-00002056,2026-07-21,ItemSelectionDetails.csv,ORD-0000827,2026-07-21 10:36:26.014513,ae68e89107,Classic Tote,Fashion Jewelry,356.31,35.63,320.68,3,0
SEL-00002057,2026-07-21,ItemSelectionDetails.csv,ORD-0000827,2026-07-21 10:36:26.014513,e48cb9f3a7,Heritage Scarf,Fine Jewelry,225.92,22.59,203.33,2,0
SEL-00002058,2026-07-21,ItemSelectionDetails.csv,ORD-0000827,2026-07-21 10:36:26.014513,efdd0204c0,Signature Tumbler,Outerwear,12.76,0.0,12.76,1,0
SEL-00002059,2026-07-21,ItemSelectionDetails.csv,ORD-0000827,2026-07-21 10:36:26.014513,0fdd317282,Everyday Wrap,White Wine,123.12,0.0,123.12,2,0
SEL-00002060,2026-07-21,ItemSelectionDetails.csv,ORD-0000828,2026-07-21 10:12:47.556648,45d1da72e8,Everyday Tote,Outerwear,25.52,5.1,20.42,2,0
SEL-00002061,2026-07-21,ItemSelectionDetails.csv,ORD-0000828,2026-07-21 10:12:47.556648,001fc480b2,Classic Earrings,Bags,11.68,1.17,10.51,1,0
SEL-00002062,2026-07-21,ItemSelectionDetails.csv,ORD-0000828,2026-07-21 10:12:47.556648,18d0617483,Modern Necklace,Red Wine,65.33,13.07,52.26,1,0
SEL-00002063,2026-07-21,ItemSelectionDetails.csv,ORD-0000829,2026-07-21 14:31:18.004765,29dab935f8,Heritage Notebook,Candles,15.14,0.0,15.14,1,0
SEL-00002064,2026-07-21,ItemSelectionDetails.csv,ORD-0000829,2026-07-21 14:31:18.004765,64906c5754,Rustic Tote,Bags,53.78,10.76,43.02,1,0
SEL-00002065,2026-07-21,ItemSelectionDetails.csv,ORD-0000829,2026-07-21 14:31:18.004765,fbe76afa97,Coastal Bottle,Scarves,128.34,0.0,128.34,2,0
SEL-00002066,2026-07-21,ItemSelectionDetails.csv,ORD-0000830,2026-07-21 12:16:57.070651,ce445b794f,Rustic Cardigan,Outerwear,64.41,0.0,64.41,3,0
SEL-00002067,2026-07-21,ItemSelectionDetails.csv,ORD-0000831,2026-07-21 11:02:39.072383,efdd0204c0,Signature Tumbler,Outerwear,38.28,0.0,38.28,3,0
SEL-00002068,2026-07-21,ItemSelectionDetails.csv,ORD-0000831,2026-07-21 11:02:39.072383,f8c364ea86,Coastal Tumbler,Kids,42.46,8.49,33.97,2,0
SEL-00002069,2026-07-21,ItemSelectionDetails.csv,ORD-0000832,2026-07-21 14:41:26.053350,ad92d680e8,Everyday Necklace,Fine Jewelry,87.74,0.0,87.74,2,0
SEL-00002070,2026-07-21,ItemSelectionDetails.csv,ORD-0000832,2026-07-21 14:41:26.053350,3b4f2bb588,Heritage Notebook,White Wine,127.7,12.77,114.93,1,0
SEL-00002071,2026-07-21,ItemSelectionDetails.csv,ORD-0000833,2026-07-21 16:30:23.319896,b8829bd88e,Coastal Notebook,Scarves,119.52,0.0,119.52,2,0
SEL-00002072,2026-07-21,ItemSelectionDetails.csv,ORD-0000833,2026-07-21 16:30:23.319896,ec410f8658,Signature Wrap,Fine Jewelry,114.86,22.97,91.89,2,0
SEL-00002073,2026-07-21,ItemSelectionDetails.csv,ORD-0000834,2026-07-21 18:03:58.994109,0754e1cbd9,Coastal Scarf,Fine Jewelry,52.6,10.52,42.08,1,0
SEL-00002074,2026-07-21,ItemSelectionDetails.csv,ORD-0000834,2026-07-21 18:03:58.994109,7ad72a22be,Everyday Tumbler,Fashion Jewelry,55.72,5.57,50.15,2,0
SEL-00002075,2026-07-21,ItemSelectionDetails.csv,ORD-0000834,2026-07-21 18:03:58.994109,bd08b8a16b,Signature Tote,Fine Jewelry,14.97,2.99,11.98,1,0
SEL-00002076,2026-07-21,ItemSelectionDetails.csv,ORD-0000835,2026-07-21 16:00:02.908583,366d913122,Everyday Vase,Red Wine,140.97,0.0,140.97,1,0
SEL-00002077,2026-07-21,ItemSelectionDetails.csv,ORD-0000835,2026-07-21 16:00:02.908583,3800bffa41,Everyday Wrap,Tabletop,348.88,0.0,348.88,2,0
SEL-00002078,2026-07-21,ItemSelectionDetails.csv,ORD-0000835,2026-07-21 16:00:02.908583,3ec5369f32,Statement Necklace,Candles,219.3,0.0,219.3,2,0
SEL-00002079,2026-07-21,ItemSelectionDetails.csv,ORD-0000836,2026-07-21 10:25:24.298473,61d3f7cd9d,Rustic Necklace,Outerwear,130.2,13.02,117.18,1,0
