order_id,export_date,export_filename,opened,guest_count,discount_amount,total,voided
ORD-0000911,2026-07-23,OrderDetails.csv,2026-07-23 13:08:44.787634,3,0.0,206.28,0
ORD-0000912,2026-07-23,OrderDetails.csv,2026-07-23 13:29:04.286723,3,0.0,83.84,0
ORD-0000913,2026-07-23,OrderDetails.csv,2026-07-23 14:29:53.654653,3,23.75,401.29,0
ORD-0000914,2026-07-23,OrderDetails.csv,2026-07-23 09:22:37.681553,1,7.67,53.71,0
ORD-0000915,2026-07-23,OrderDetails.csv,2026-07-23 09:46:40.497662,2,28.95,1042.07,0
ORD-0000916,2026-07-23,OrderDetails.csv,2026-07-23 12:06:58.289465,3,8.79,79.16,0
ORD-0000917,2026-07-23,OrderDetails.csv,2026-07-23 17:58:23.826222,3,14.04,174.31,0
ORD-0000918,2026-07-23,OrderDetails.csv,2026-07-23 18:05:21.851824,2,0.0,45.42,0
ORD-0000919,2026-07-23,OrderDetails.csv,2026-07-23 10:08:18.266318,2,0.0,77.9,0
ORD-0000920,2026-07-23,OrderDetails.csv,2026-07-23 09:38:22.081230,3,50.44,411.45,0
ORD-0000921,2026-07-23,OrderDetails.csv,2026-07-23 14:44:53.499891,1,52.28,490.56,0
ORD-0000922,2026-07-23,OrderDetails.csv,2026-07-23 14:47:36.735151,3,5.61,99.2,0
ORD-0000923,2026-07-23,OrderDetails.csv,2026-07-23 16:24:58.867348,2,55.57,567.62,0
ORD-0000924,2026-07-23,OrderDetails.csv,2026-07-23 17:31:54.264148,2,90.89,542.33,0
ORD-0000925,2026-07-23,OrderDetails.csv,2026-07-23 13:56:26.999773,2,32.5,164.98,0
ORD-0000926,2026-07-23,OrderDetails.csv,2026-07-23 16:06:58.274726,1,28.16,347.61,0
ORD-0000927,2026-07-23,OrderDetails.csv,2026-07-23 12:05:44.820710,3,11.22,245.74,0
ORD-0000928,2026-07-23,OrderDetails.csv,2026-07-23 12:19:26.670871,1,0.0,18.61,0
ORD-0000929,2026-07-23,OrderDetails.csv,2026-07-23 11:34:53.103728,1,8.25,211.67,0
ORD-0000930,2026-07-23,OrderDetails.csv,2026-07-23 13:48:17.514559,1,7.64,338.09,0
ORD-0000931,2026-07-23,OrderDetails.csv,2026-07-23 10:06:19.908909,2,9.66,262.93,0
ORD-0000932,2026-07-23,OrderDetails.csv,2026-07-23 12:03:26.977310,1,0.0,118.74,0
ORD-0000933,2026-07-23,OrderDetails.csv,2026-07-23 10:42:53.689812,1,0.0,69.94,0
ORD-0000934,2026-07-23,OrderDetails.csv,2026-07-23 09:02:02.308667,1,21.79,87.15,0
ORD-0000935,2026-07-23,OrderDetails.csv,2026-07-23 10:09:24.458247,3,12.74,515.44,0
ORD-0000936,2026-07-23,OrderDetails.csv,2026-07-23 14:58:24.522173,3,86.33,763.32,0
ORD-0000937,2026-07-23,OrderDetails.csv,2026-07-23 13:56:55.444973,2,24.8,454.49,0
ORD-0000938,2026-07-23,OrderDetails.csv,2026-07-23 10:34:57.930373,1,4.8,43.17,0
ORD-0000939,2026-07-23,OrderDetails.csv,2026-07-23 09:44:00.806653,2,9.59,880.15,0
ORD-0000940,2026-07-23,OrderDetails.csv,2026-07-23 14:22:14.351844,2,0.0,116.75,0
ORD-0000941,2026-07-23,OrderDetails.csv,2026-07-23 11:10:32.322993,1,12.02,601.76,0
ORD-0000942,2026-07-23,OrderDetails.csv,2026-07-23 11:02:40.332947,1,5.32,21.28,0
ORD-0000943,2026-07-23,OrderDetails.csv,2026-07-23 09:18:11.469308,3,0.0,228.76,0
ORD-0000944,2026-07-23,OrderDetails.csv,2026-07-23 12:05:40.723671,1,0.0,488.29,0
ORD-0000945,2026-07-23,OrderDetails.csv,2026-07-23 11:32:52.907010,3,0.0,393.12,0
ORD-0000946,2026-07-23,OrderDetails.csv,2026-07-23 16:27:55.914600,1,0.0,141.99,0
ORD-0000947,2026-07-23,OrderDetails.csv,2026-07-23 12:46:57.444287,3,48.99,756.23,0
ORD-0000948,2026-07-23,OrderDetails.csv,2026-07-23 12:52:16.795983,2,16.25,529.24,0
ORD-0000949,2026-07-23,OrderDetails.csv,2026-07-23 15:48:24.945694,1,0.0,29.34,0
ORD-0000950,2026-07-23,OrderDetails.csv,2026-07-23 09:53:22.007080,3,0.0,383.99,0
ORD-0000951,2026-07-23,OrderDetails.csv,2026-07-23 14:58:09.112486,1,0.0,219.44,0
ORD-0000952,2026-07-23,OrderDetails.csv,2026-07-23 13:51:14.204665,2,0.0,434.22,0
